3437970772;;;;
#poses;f;isConstant;;
0;2317.65;0;;
2;2317.65;0;;
3;2237.27;0;;
4;2270.47;0;;
5;2257.36;0;;
6;2239.65;0;;
7;2167.45;0;;
8;2169.6;0;;
9;2133.46;0;;
10;2148.49;0;;
11;2131.29;0;;
12;2112.36;0;;
13;2121.88;0;;
14;2088.76;0;;
15;2039.96;0;;
16;2036.72;0;;
17;2015.54;0;;
18;1974.22;0;;
19;1886.28;0;;
20;1817.91;0;;
20;1824.38;0;;
21;1805.79;0;;
21;1812.84;0;;
22;1809.01;0;;
23;1819.32;0;;
23;1828.44;0;;
24;1833.41;0;;
24;1844.97;0;;
25;1834.83;0;;
25;1841.72;0;;
26;1831.26;0;;
26;1840.4;0;;
27;1829.73;0;;
27;1834.25;0;;
28;1845.09;0;;
28;1849.6;0;;
29;1824.3;0;;
29;1835.52;0;;
30;1832.92;0;;
30;1837.2;0;;
43;1822.71;0;;
43;1825.06;0;;
